Longitude,Latitude,operator_name,avg_dl_4g_ios,avg_dl_4g_ad,avg_dl_ip12_5g,avg_dl_ad_5g,avg_dl_4g_ios_pred,avg_dl_4g_ad_pred,avg_dl_ip12_5g_pred,avg_dl_ad_5g_pred
24.57566039,60.24394068,Elisa,42.9,,,,31,54,193,120
24.57566039,60.24394068,Telia,54.5,22,,,41,46,268,261
24.58015197,60.17252835,Elisa,,,,308.7,28,19,194,233
24.58015197,60.17476233,Elisa,15.14,2.35,,,22,15,200,203
24.58015197,60.18146339,Elisa,9.4,162.1,,96.24,24,46,213,147
24.58015197,60.18146339,Telia,,74.35,,,31,53,253,169
24.58015197,60.18369677,DNA,96.9,120.9666667,,,79,80,346,247
24.58015197,60.18369677,Elisa,71.55,65.5,,,43,57,211,164
24.58015197,60.18369677,Telia,60.2,42.85,,,44,42,260,182
24.58015197,60.18816308,DNA,107.85,,,,85,53,320,242
24.58015197,60.18816308,Telia,,,,,48,27,268,207
24.58015197,60.190396,DNA,,,,,72,48,308,248
24.58015197,60.190396,Telia,,4.6,,,49,26,274,218
24.58015197,60.19262878,Elisa,,,174.1,184.2,33,19,177,193
24.58015197,60.19262878,Telia,,49.2,,,48,40,280,225
24.58015197,60.1948614,Elisa,,2.2,,,41,15,202,229
24.58015197,60.19709387,Elisa,,,276.9,,56,24,246,241
24.58015197,60.19709387,Telia,63,,,,46,27,275,230
24.58015197,60.19932619,Elisa,,,287.9,,64,33,261,236
24.58015197,60.19932619,Telia,13.9,,,,36,25,272,234
24.58015197,60.20155836,Elisa,54.2,,,,65,41,242,229
24.58015197,60.20155836,Telia,104,,,,58,27,270,240
24.58015197,60.23502263,Elisa,,,,,28,76,187,145
24.58015197,60.23725237,DNA,,,,,29,19,296,331
24.58015197,60.23725237,Elisa,,110.7,,,26,83,194,127
24.58015197,60.23725237,Telia,150.3,115.5,,,29,85,267,259
24.58015197,60.23948196,DNA,,16.8,,,29,16,296,331
24.58015197,60.23948196,Elisa,,,,33.9,25,67,198,100
24.58015197,60.23948196,Telia,0.4,,,,21,72,267,259
24.58015197,60.24394068,DNA,,5.7,,,29,10,296,332
24.58015197,60.24394068,Telia,,6.4,,,34,37,268,260
24.58015197,60.24616981,Telia,18.7,,,,32,45,268,261
24.58015197,60.25062761,Elisa,,,,,39,55,190,162
24.58015197,60.27958857,DNA,,26.2,,,48,30,296,334
24.58464354,60.16582547,DNA,,,51.6,,41,37,180,305
24.58464354,60.17252835,Telia,1.3,,,,19,44,195,213
24.58464354,60.18146339,Elisa,1.5,,,,23,48,233,185
24.58464354,60.18369677,Elisa,,112.92,,259.1,33,69,237,207
24.58464354,60.18593,Elisa,12.5,,,,31,54,226,193
24.58464354,60.18816308,Elisa,62.7,,,,41,49,195,183
24.58464354,60.18816308,Telia,,,,,50,33,264,213
24.58464354,60.190396,DNA,,41.7,,,80,51,306,231
24.58464354,60.190396,Elisa,24.8,,,178.4,32,45,163,181
24.58464354,60.190396,Telia,,9.2,,,50,35,272,225
24.58464354,60.19262878,DNA,96.45,,,,82,53,293,244
24.58464354,60.19262878,Elisa,13.6,12.4,,122.2,29,28,160,197
24.58464354,60.19262878,Telia,,95.6,311.9,,46,55,286,231
24.58464354,60.1948614,DNA,,39.6,,,77,53,285,254
24.58464354,60.1948614,Elisa,,148,,359.5,46,24,187,274
24.58464354,60.19709387,Elisa,99.4,,,,71,30,223,261
24.58464354,60.19709387,Telia,28,0.4,,231.4,32,20,273,227
24.58464354,60.19932619,Elisa,,,279.9,,75,38,250,245
24.58464354,60.19932619,Telia,11.9,,,,26,23,270,231
24.58464354,60.20155836,Elisa,95.2,,,,81,44,233,233
24.58464354,60.20155836,Telia,3.6,,,,29,25,268,241
24.58464354,60.22833251,Elisa,47.8,,,,49,61,161,179
24.58464354,60.22833251,Telia,245,,,,49,54,267,255
24.58464354,60.23279275,DNA,,7.8,,,27,17,295,329
24.58464354,60.23502263,DNA,,29.7,,,24,22,296,330
24.58464354,60.23502263,Telia,,47.2,,,39,63,267,257
24.58464354,60.24171139,DNA,,9.4,,,23,12,296,332
24.58464354,60.24171139,Elisa,,23.2,,,31,48,209,127
24.58464354,60.25731319,Elisa,,,,241.8,46,61,181,215
24.58913512,60.1702942,DNA,3.2,22.9,,,27,35,333,291
24.58913512,60.1702942,Elisa,,,,,39,20,191,175
24.58913512,60.17252835,Elisa,,,,43.3,33,18,199,146
24.58913512,60.17699617,DNA,6.9,,,,32,45,424,251
24.58913512,60.17699617,Elisa,4,,,,18,22,224,199
24.58913512,60.17699617,Telia,,,,,27,35,224,217
24.58913512,60.17922986,DNA,,,,,41,48,421,235
24.58913512,60.17922986,Elisa,,21,,,28,27,238,204
24.58913512,60.17922986,Telia,37.1,,,,29,34,243,214
24.58913512,60.18146339,DNA,50.4,48.66666667,,,52,57,404,222
24.58913512,60.18146339,Elisa,83.1,,,184.9,43,39,254,205
24.58913512,60.18146339,Telia,19.9,34.9,,,28,33,259,212
24.58913512,60.18369677,Elisa,26,,,,33,49,269,218
24.58913512,60.18369677,Telia,,,,,37,30,270,209
24.58913512,60.18593,DNA,84.7,46.4,,,77,63,348,202
24.58913512,60.18593,Elisa,24.26666667,14.5,,,35,45,265,214
24.58913512,60.18593,Telia,,22.2,,170.6,45,30,268,204
24.58913512,60.18816308,DNA,106.7,45.6,,130.1,86,60,321,191
24.58913512,60.18816308,Elisa,18.1,39.4,,,36,56,217,200
24.58913512,60.18816308,Telia,,34.5,,,51,40,252,225
24.58913512,60.190396,DNA,57.76666667,59.43333333,,,75,64,299,220
24.58913512,60.190396,Elisa,60.05,123.74,74,124.7,41,73,144,184
24.58913512,60.190396,Telia,66.5,82,,,52,57,262,241
24.58913512,60.19262878,DNA,60.6,69.7,,,79,64,284,236
24.58913512,60.19262878,Elisa,15.05,46.6,89.9,282.9,34,47,135,234
24.58913512,60.19262878,Telia,57.5,70.6,,,45,53,274,249
24.58913512,60.1948614,DNA,,76.55,,,89,70,275,245
24.58913512,60.1948614,Elisa,30.9,8.2,,351.2,45,31,169,272
24.58913512,60.1948614,Telia,,1.1,,,32,30,273,239
24.58913512,60.19709387,Elisa,,42.63333333,,280.5,64,41,197,257
24.58913512,60.19709387,Telia,,22.5,,,26,26,268,219
24.58913512,60.19932619,Telia,,,,,25,24,266,229
24.58913512,60.2104855,Telia,,14.3,,,46,26,266,258
24.58913512,60.2305627,Telia,,49.3,,,51,54,267,253
24.58913512,60.23279275,Elisa,2.1,,,,29,65,179,158
24.58913512,60.23502263,Elisa,,,,,32,66,195,150
24.58913512,60.23502263,Telia,,62,,,44,64,267,255
24.58913512,60.23725237,Elisa,21.6,,,,30,68,210,143
24.58913512,60.23948196,Telia,,95.4,,,37,77,267,257
24.58913512,60.25062761,Telia,63.3,,,,50,56,267,260
24.58913512,60.25285629,Elisa,53.9,,,,46,61,191,189
24.58913512,60.28849448,Telia,,,,,49,48,268,241
24.59362669,60.16135612,Telia,57.1,,,,48,52,176,236
24.59362669,60.16359087,Elisa,21.95,,,,32,33,185,189
24.59362669,60.16359087,Telia,59.1,,,,46,52,158,230
24.59362669,60.16582547,DNA,,6.8,,,48,30,281,299
24.59362669,60.16582547,Telia,,,,,43,51,143,227
24.59362669,60.1702942,DNA,,,412.1,,44,46,375,289
24.59362669,60.17476233,Elisa,,7.4,,,32,19,212,205
24.59362669,60.17476233,Telia,24.1,,,,34,34,198,238
24.59362669,60.17699617,Elisa,4.2,,,,24,26,229,222
24.59362669,60.17699617,Telia,,21.05,,,30,28,227,239
24.59362669,60.17922986,DNA,11.6,5.8,,,41,42,458,220
24.59362669,60.17922986,Elisa,29.86666667,20.8,,,32,26,246,229
24.59362669,60.18146339,Elisa,,9.75,,,35,29,265,234
24.59362669,60.18146339,Telia,,18.23333333,,,28,24,262,237
24.59362669,60.18369677,DNA,,88.5,,,55,75,389,196
24.59362669,60.18369677,Elisa,13.3,,,,32,43,291,238
24.59362669,60.18593,DNA,,112.4,,,61,80,349,195
24.59362669,60.18593,Elisa,96.1,,448.8,,54,53,328,237
24.59362669,60.18593,Telia,,10.16666667,390.2,,46,27,291,234
24.59362669,60.18816308,DNA,,66,,,70,77,315,203
24.59362669,60.18816308,Elisa,81.68333333,108.05,,,51,72,250,227
24.59362669,60.18816308,Telia,62.4,67.24,52.9,,53,50,215,245
24.59362669,60.190396,DNA,,114,,255.9,76,91,288,228
24.59362669,60.190396,Elisa,4.6,146.15,,,34,65,190,214
24.59362669,60.190396,Telia,33.26666667,74.73333333,,,44,57,264,267
24.59362669,60.19262878,DNA,,11.7,,,89,64,269,235
24.59362669,60.19262878,Elisa,83.35,55.6,,,53,56,161,213
24.59362669,60.19262878,Telia,15.6,6.3,,276.1,32,40,273,283
24.59362669,60.1948614,DNA,148.6,78.22,,,107,78,261,240
24.59362669,60.1948614,Elisa,57.625,33.4,,170.68,55,49,164,211
24.59362669,60.1948614,Telia,8.9,72.7,,328,24,46,264,280
24.59362669,60.19709387,DNA,,128.05,,214.4,89,94,260,240
24.59362669,60.19709387,Elisa,33.4,78.45,,136.9,57,58,178,205
24.59362669,60.19709387,Telia,14.95,44.78333333,,31.3,22,35,260,200
24.59362669,60.19932619,DNA,60.9,57.85,,,70,68,263,258
24.59362669,60.19932619,Elisa,122.8,49.6,,253.7,84,53,186,228
24.59362669,60.19932619,Telia,27.1,19.8,,,26,26,261,247
24.59362669,60.20155836,Elisa,96.9,,,,84,57,185,221
24.59362669,60.22610217,DNA,,5.8,,,27,20,294,324
24.59362669,60.2305627,Elisa,146.7,,,,62,64,155,166
24.59362669,60.23279275,Elisa,,,,618,50,64,177,159
24.59362669,60.23502263,DNA,5.8,,,,11,21,295,329
24.59362669,60.23502263,Elisa,,41.4,,,46,56,200,155
24.59362669,60.23725237,DNA,2.1,5,,,9,16,296,329
24.59362669,60.23725237,Elisa,43.52,89.55,,,44,66,222,154
24.59362669,60.23725237,Telia,,177.6,,,46,70,267,254
24.59362669,60.23948196,Elisa,,84,,,43,68,236,156
24.59362669,60.23948196,Telia,,138.3,,,43,71,267,256
24.59362669,60.24616981,DNA,2.7,,,,9,14,296,332
24.59362669,60.24616981,Elisa,,,,,40,58,214,168
24.59362669,60.25062761,DNA,2.4,1.1,,,12,8,296,333
24.59362669,60.25062761,Elisa,23.7,,,,36,60,198,183
24.59362669,60.25062761,Telia,32.2,,,,43,59,267,260
24.59362669,60.25285629,DNA,,1.7,,,19,8,296,333
24.59362669,60.25285629,Elisa,,,,,42,62,192,191
24.59362669,60.25285629,Telia,55.83333333,,,,48,57,267,260
24.59362669,60.25508481,DNA,,8.4,,,25,11,296,333
24.59362669,60.25508481,Elisa,,73.4,,,45,66,187,198
24.59362669,60.25954141,Telia,28.1,,,,36,55,268,260
24.59362669,60.27290755,DNA,,28.5,,,46,31,296,334
24.59811827,60.16359087,DNA,,39.1,,,54,47,287,297
24.59811827,60.16359087,Elisa,17.2,,,,34,35,186,186
24.59811827,60.16359087,Telia,5.6,,,,33,55,159,227
24.59811827,60.16582547,Elisa,56.2,,,,50,29,183,193
24.59811827,60.16582547,Telia,,,63.5,,42,54,127,222
24.59811827,60.16805991,Elisa,87.4,5.7,,,61,20,180,204
24.59811827,60.1702942,Elisa,0.1,,,,54,22,181,214
24.59811827,60.17252835,Telia,83.5,,10.1,,57,40,138,250
24.59811827,60.17476233,DNA,,48.3,519.4,,72,61,481,256
24.59811827,60.17476233,Elisa,,,,243.2,42,30,209,236
24.59811827,60.17476233,Telia,55.725,,274.6,,47,33,220,256
24.59811827,60.17699617,DNA,151.4,52.5,628.7,,90,59,516,232
24.59811827,60.17699617,Elisa,53.5,52.65,,285,42,38,232,251
24.59811827,60.17699617,Telia,31.4,,,,35,28,238,259
24.59811827,60.17922986,DNA,260.25,228.6,,,63,65,475,206
24.59811827,60.17922986,Elisa,56.8,,,,41,33,245,245
24.59811827,60.17922986,Telia,4.3,18.4,,,22,24,248,261
24.59811827,60.18146339,DNA,,119.5,536.2,159.7,51,78,452,182
24.59811827,60.18146339,Elisa,,,,290.1,33,34,258,255
24.59811827,60.18369677,Elisa,15.9,63.35,,252.2,31,46,276,252
24.59811827,60.18369677,Telia,18,11.3,307.9,,36,23,279,253
24.59811827,60.18593,DNA,13.1,16,,,43,56,342,190
24.59811827,60.18593,Elisa,36.25,32.7,,291.6,43,50,280,263
24.59811827,60.18593,Telia,,27.3,,297.5,52,32,271,255
24.59811827,60.18816308,DNA,,,,,59,83,304,205
24.59811827,60.18816308,Elisa,10.1,67.2,,,40,60,249,255
24.59811827,60.18816308,Telia,,46.3,,,55,47,259,253
24.59811827,60.190396,DNA,52.9,202.9,,,67,119,269,223
24.59811827,60.190396,Elisa,25.73333333,22.925,259.3666667,,40,51,217,240
24.59811827,60.190396,Telia,,,456,,49,52,303,299
24.59811827,60.19262878,DNA,120,96.44,,240.9,88,85,247,236
24.59811827,60.19262878,Elisa,37,63.15,,86.7,50,60,170,194
24.59811827,60.19262878,Telia,41.5,27.8,307.86,314.5,40,44,277,341
24.59811827,60.1948614,DNA,88.3,59.4,,,88,72,241,241
24.59811827,60.1948614,Elisa,91,106.1333333,,,66,72,161,215
24.59811827,60.1948614,Telia,42,,208.2,,34,43,247,341
24.59811827,60.19709387,DNA,106.9,156.85,,241.8,85,93,246,246
24.59811827,60.19709387,Elisa,36.06666667,38.8,,,55,57,167,208
24.59811827,60.19709387,Telia,,33.55,,,28,34,253,313
24.59811827,60.19932619,Elisa,49.3,45.1,,,60,54,166,206
24.59811827,60.19932619,Telia,,18,,,29,27,257,313
24.59811827,60.20155836,DNA,,31.9,,,57,41,262,272
24.59811827,60.20155836,Elisa,,101.3,,,66,64,162,205
24.59811827,60.20155836,Telia,,39.6,,,35,33,260,307
24.59811827,60.21941022,Elisa,,15.525,,,57,34,140,203
24.59811827,60.22833251,Elisa,136,,86.5,,91,61,121,176
24.59811827,60.23279275,Elisa,,92.7,,,67,69,176,155
24.59811827,60.23502263,DNA,,,,,11,25,295,328
24.59811827,60.23725237,DNA,6.1,35.4,,,9,26,295,329
24.59811827,60.23725237,Elisa,57.35,0.2,,,58,41,232,163
24.59811827,60.23725237,Telia,,,,,51,69,267,252
24.59811827,60.23948196,Elisa,,0.1,289.9,,54,60,259,171
24.59811827,60.24616981,DNA,1.7,,,,9,17,296,332
24.59811827,60.24839879,Telia,,72.4,,,43,64,267,258
24.59811827,60.25731319,Elisa,,,,,47,61,183,201
24.59811827,60.26176948,DNA,,2.2,,,29,14,296,333
24.59811827,60.28626823,Telia,,,,,51,48,268,226
24.60260985,60.15912122,DNA,12.45,,,,31,65,286,293
24.60260985,60.16582547,Telia,,83.9,,,46,61,178,214
24.60260985,60.16805991,Elisa,40.4,,,,53,30,175,208
24.60260985,60.16805991,Telia,45.7,16.5,106.9,,47,45,167,218
24.60260985,60.1702942,DNA,,99.4,,,68,82,381,296
24.60260985,60.1702942,Elisa,,,,293.8,56,28,167,236
24.60260985,60.1702942,Telia,,71.5,,,48,52,196,250
24.60260985,60.17252835,Elisa,,24.1,,,51,30,170,236
24.60260985,60.17476233,DNA,,119.6,,,73,83,451,252
24.60260985,60.17476233,Telia,38.05,29.36666667,,,46,33,247,275
24.60260985,60.17699617,DNA,82.75,,,,77,72,463,232
24.60260985,60.17699617,Elisa,30.2,,284,,45,44,235,244
24.60260985,60.17699617,Telia,80.725,,,,48,29,259,275
24.60260985,60.17922986,DNA,,116.3,,158.8,64,78,441,203
24.60260985,60.17922986,Elisa,,26.5,,,42,37,230,233
24.60260985,60.17922986,Telia,11.325,,,,28,27,253,277
24.60260985,60.18146339,DNA,,12.4,,,50,57,400,178
24.60260985,60.18146339,Elisa,11.85,35.3,,,31,35,233,231
24.60260985,60.18146339,Telia,29.75,46.3,,333.1,35,30,247,285
24.60260985,60.18369677,DNA,,,271.1,,44,54,341,173
24.60260985,60.18369677,Elisa,30.5,8,253.6,,37,31,244,241
24.60260985,60.18593,DNA,63.9,,376,,52,51,333,184
24.60260985,60.18593,Elisa,,97.7,,,55,57,239,256
24.60260985,60.18593,Telia,79.63333333,,,,67,38,263,229
24.60260985,60.18816308,Elisa,99.1,,,,70,54,221,269
24.60260985,60.18816308,Telia,67.9,49.2,,136.15,65,49,251,215
24.60260985,60.190396,DNA,,105.1,,,63,84,245,222
24.60260985,60.190396,Elisa,32.6,50.15,,409.9666667,55,51,190,289
24.60260985,60.190396,Telia,59.5,64.2,94.3,,57,57,220,316
24.60260985,60.19262878,DNA,22.8,43.975,,,55,61,215,236
24.60260985,60.19262878,Elisa,57.33333333,38.5,94.1,,62,57,146,238
24.60260985,60.19262878,Telia,,79.9,681.9,656.1,47,58,248,449
24.60260985,60.1948614,DNA,65,19.2,,,62,45,218,245
